Județ;Localitate;Adresa;Tip;Latitudine;Longitudine;Capacitatea
BIF;Sector 1;"Str. Parcului nr. 65 S.A. MONITORUL  OFICIAL
(clădire nouă)";public;44,479897;26,056328;100
BIF;Sector 1;Str. Aviator Popiştea nr. 46 Dir. San. Pub. Ilfov;public;44,472391;26,056742;175
BIF;Sector 1;Șos. București-Ploiești Nr.1A;public;44,482177;26,074011;115
BIF;Sector 1;Șos. București-Ploiești Nr.1A;public;44,482177;26,074011;115
BIF;Sector 1;Șos. București-Ploiești Nr.1A;public;44,482177;26,074011;115
BIF;Sector 1;Str. Av. Popisteanu 46 Dir. San. Pub. Ilfov;public;44,472376;26,056595;175
BIF;Sector 1;Str. George Enescu 27 UGIR 93;public;44,443533;26,097469;200
BIF;Sector 1;Str. Londra nr. 16-20 BNR;public;44,454677;26,093408;300
BIF;Sector 1;Str. Luterana 4 SC Buc. Sat. Corp F1;public;44,440698;26,093064;275
BIF;Sector 1;Str. Manolescu 22 I.N.M.B.;public;44,456397;26,077207;200
BIF;Sector 1;Str. Marasti 59 Univ. St. Ec.;public;44,471442;26,070985;300
BIF;Sector 1;Str.Vartejeanu 15 Gradinita 248;public;44,453051;26,077279;216
BIF;Sector 1;Str.Vrancei 9 Integr. socio-prof.;public;44,469863;26,052361;200
BIF;Sector 1;Str. Stanislav Cihoschi 15 Administraţia Unităţilor de Învăţământ Preuniversitar si Unităţilor Sanitare Publice Sector 1;public;44,448466;26,097835;132
BIF;Sector 1;B-dul Iancu de Hunedoara 25-27 Administraţia Unităţilor De Învăţământ Preuniversitar Şi Unităţilor Sanitare Publice Sector 1;public;44,452973;26,091228;568
BIF;Sector 1;"B-dul Mareşal Averescu 8-10 Institutul National de
Cercetare - Dezvoltare in Informatica";public;44,421009;26,102395;106
BIF;Sector 1;Calea Giulesti 6K St. CF Corp A2;public;44,450280;26,061645;100
BIF;Sector 1;Calea Victoriei 63/81 SC Buc. Sat Corp A2;public;44,436369;26,097790;225
BIF;Sector 1;Calea Victoriei 35 Centr. Tel. Victoria;public;44,440938;26,095290;100
BIF;Sector 1;Calea Victoriei 133 Sediu Firme;public;44,448093;26,089152;900
BIF;Sector 1;Calea Victoriei 218 AVAPS;public;44,450424;26,088014;200
BIF;Sector 1;"Casa de Sănătate a Municipiului Bucuresti, Sos.
Bucuresti-Ploiesti Nr. 7";public;44.490685;26.078757;150
BIF;Sector 1;"Liceul Teoretic National (unitate de invatamant), Str.
Buzesti nr. 14-18";public;44.446756;26.082158;100
BIF;Sector 1+2;"Porsche   Immobilien, Bd.  Pipera, nr. 2 S. 1 + 2;";privat;44.487813;26.116511;257
BIF;Sector 1+2;"BARBA Center, Sos.  Pipera  nr. I / VI      S. 1 + 2;";privat;44.490031;26.118448;341
BIF;Sector 1+2;"Adexim  Modelcom, Bd. Pipera–Tunari nr. 1 / I  S. 1 +
2;";privat;44.490452;26.119473;400
BIF;Sector1+2;"Integral Imvest Voluntari Bd. Pipera, nr. 1 / IA      S. 1 +
2;";privat;44.491245;26.119389;206
